math score,reading score,writing score,placement score,club join year,placement offer count
77,82,70,85,2020,3
78,79,77,85,2019,3
94,88,65,97,2019,3
71,67,76,96,2020,3
78,62,78,93,2020,3
73,76,64,70,2020,1
63,84,76,76,2020,2
80,80,67,95,2019,3
66,60,88,96,2020,3
75,89,66,91,2019,3
77,77,70,100,2020,3
63,71,79,100,2017,3
68,80,60,91,2019,1
66,64,69,76,2020,2
70,78,62,91,2020,3
70,86,72,91,2019,3
77,86,76,71,2019,1
71,65,78,92,2019,3
65,74,80,92,2020,1
78,72,69,96,2020,3
70,100,69,70,2019,1
79,62,63,71,2019,1
76,79,73,84,2020,2
72,86,71,84,2020,1
70,83,78,91,2019,3
66,64,64,94,2019,3
60,64,75,87,2020,3
50,63,71,71,2019,1
77,76,69,91,2019,3
77,61,60,92,2019,3
